"module_name","exercise_name","exercise_url"
"Long-Form Tutorials","Hyperextension","https://www.modernmeathead.com/products/exercise-library/categories/2156514182/posts/2182794611"
"Long-Form Tutorials","Leg Extension","https://www.modernmeathead.com/products/exercise-library/categories/2156514182/posts/2182794621"
"Long-Form Tutorials","45 Degree Leg Press","https://www.modernmeathead.com/products/exercise-library/categories/2156514182/posts/2182794630"
"Long-Form Tutorials","Lying Leg Curl","https://www.modernmeathead.com/products/exercise-library/categories/2156514182/posts/2182794647"
"Long-Form Tutorials","Pendulum Squat","https://www.modernmeathead.com/products/exercise-library/categories/2156514182/posts/2182794660"
"Long-Form Tutorials","Pressing Machine 1","https://www.modernmeathead.com/products/exercise-library/categories/2156514182/posts/2182794664"
"Hip Flexors","Single Leg Cable Hip Flexion","https://www.modernmeathead.com/products/exercise-library/categories/2157153157/posts/2185494958"
"Hybrid Upper Press","Barbell Flat Bench Press","https://www.modernmeathead.com/products/exercise-library/categories/2157476169/posts/2186959838"
"Request a tutorial","Tutorial request form ENSURE THE EXERCISE YOU'RE REQUESTING IS NOT ALREADY IN THE LIBRARY PLEASE! NOT ALL REQUESTS ARE ...","https://www.modernmeathead.com/products/exercise-library/categories/2156375522/posts/2182213537"
"Abdominals","Roman Chair Crunches","https://www.modernmeathead.com/products/exercise-library/categories/2156454445/posts/2183114012"
"Abdominals","Cable Column Crunch","https://www.modernmeathead.com/products/exercise-library/categories/2156454445/posts/2182541314"
"Abdominals","Free Motion Cable Rotation","https://www.modernmeathead.com/products/exercise-library/categories/2156454445/posts/2186469371"
"Abdominals","External Oblique Floor Crunch","https://www.modernmeathead.com/products/exercise-library/categories/2156454445/posts/2182541315"
"Abdominals","GHD Reverse Crunch","https://www.modernmeathead.com/products/exercise-library/categories/2156454445/posts/2183947294"
"Abdominals","GHD Hip + Ab Flexion","https://www.modernmeathead.com/products/exercise-library/categories/2156454445/posts/2183947295"
"Abdominals","Floor Crunches","https://www.modernmeathead.com/products/exercise-library/categories/2156454445/posts/2182541316"
"Abdominals","Oblique Twist Machine","https://www.modernmeathead.com/products/exercise-library/categories/2156454445/posts/2185495000"
"Abdominals","Free Weight Side-Bends","https://www.modernmeathead.com/products/exercise-library/categories/2156454445/posts/2182541317"
"Abdominals","GHD Rectus Crunch","https://www.modernmeathead.com/products/exercise-library/categories/2156454445/posts/2183947296"
"Adductors","Adductor HyperExtensions","https://www.modernmeathead.com/products/exercise-library/categories/2156454460/posts/2182541359"
"Adductors","Single Leg Cable Adduction","https://www.modernmeathead.com/products/exercise-library/categories/2156454460/posts/2183347398"
"Adductors","Single Leg Bench Adduction","https://www.modernmeathead.com/products/exercise-library/categories/2156454460/posts/2183347397"
"Adductors","Seated Adduction Machine","https://www.modernmeathead.com/products/exercise-library/categories/2156454460/posts/2182541360"
"Adductors","Adductor Leg Press","https://www.modernmeathead.com/products/exercise-library/categories/2156454460/posts/2182558726"
"Adductors","Seated Cable Adduction","https://www.modernmeathead.com/products/exercise-library/categories/2156454460/posts/2189215619"
"Biceps","Single Arm Lat Pull-Down DB Curl","https://www.modernmeathead.com/products/exercise-library/categories/2156454489/posts/2183114005"
"Biceps","DB Lengthened Long Head Curls 1-arm","https://www.modernmeathead.com/products/exercise-library/categories/2156454489/posts/2185688754"
"Biceps","1-Arm Cable Column Curl","https://www.modernmeathead.com/products/exercise-library/categories/2156454489/posts/2182541524"
"Biceps","1-Arm High Cable Curl","https://www.modernmeathead.com/products/exercise-library/categories/2156454489/posts/2182541525"
"Biceps","DB Spider Curls","https://www.modernmeathead.com/products/exercise-library/categories/2156454489/posts/2189243030"
"Biceps","Cable Lengthened Long Head Curls 1-arm","https://www.modernmeathead.com/products/exercise-library/categories/2156454489/posts/2185688755"
"Biceps","Rope Supinating Curls","https://www.modernmeathead.com/products/exercise-library/categories/2156454489/posts/2183114003"
"Biceps","1-Arm Machine Preacher Curl","https://www.modernmeathead.com/products/exercise-library/categories/2156454489/posts/2182541526"
"Biceps","1-Arm Anchored Cable Hammer Curl","https://www.modernmeathead.com/products/exercise-library/categories/2156454489/posts/2186469373"
"Biceps","Single Arm Machine Hammer Curl Keep in mind these bias the brachioradialis muscle over the biceps.","https://www.modernmeathead.com/products/exercise-library/categories/2156454489/posts/2185311123"
"Triceps","Barbell Triceps Press","https://www.modernmeathead.com/products/exercise-library/categories/2156454618/posts/2182760989"
"Triceps","Lying Wide Cable Triceps Extension","https://www.modernmeathead.com/products/exercise-library/categories/2156454618/posts/2182724297"
"Triceps","1-Arm Cable Column Overhead Triceps Extension","https://www.modernmeathead.com/products/exercise-library/categories/2156454618/posts/2182542162"
"Triceps","Dip Machine Triceps Press (2-arm)","https://www.modernmeathead.com/products/exercise-library/categories/2156454618/posts/2185311121"
"Triceps","Dip Machine Triceps Press (1-arm)","https://www.modernmeathead.com/products/exercise-library/categories/2156454618/posts/2185311122"
"Triceps","Single Arm Lat Pull-Down Extension","https://www.modernmeathead.com/products/exercise-library/categories/2156454618/posts/2186469372"
"Triceps","1-Arm Cable Column Triceps Extension","https://www.modernmeathead.com/products/exercise-library/categories/2156454618/posts/2182542163"
